timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.760437536278000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.000862038021595013e-01,2.521164237464612601e-01,-2.965174567655834981e-01,2.540452699163984196e-01,2.654989159459600345e-01,4.926794907220173325e-01,5.040000000000000036e-01,5.220000000000000195e-01,2.844816129490238543e-01,5.028850260126901395e-01,4.919999999999999929e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437536482000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-2.965174567655834981e-01,2.540452699163984196e-01,-3.009441271632100068e-01,2.559839856402790770e-01,2.844816129490238543e-01,5.028850260126901395e-01,4.000000000000000777e-01,5.240000000000000213e-01,2.609354938127126378e-01,5.131427811654978299e-01,3.920000000000000151e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437536687000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.012874208838319245e-01,2.560615286625566034e-01,-3.140354956775135431e-01,2.579997707715248056e-01,2.591094633838726402e-01,5.135530617066487169e-01,2.999999999999999889e-01,5.240000000000000213e-01,1.913005549068427791e-01,5.238083109604487753e-01,2.879999999999999782e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437536891000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.140354956775135431e-01,2.579997707715248056e-01,-3.272503540977330649e-01,2.599388665019287115e-01,1.913005549068427791e-01,5.238083109604487753e-01,1.959999999999997300e-01,5.240000000000000213e-01,1.210087547992921009e-01,5.340680767297816267e-01,3.880000000000000115e-01,5.240000000000000213e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437537093000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.272503540977330649e-01,2.599388665019287115e-01,-3.400465535559331620e-01,2.619566642039686255e-01,1.210087547992921009e-01,5.340680767297816267e-01,5.000000000000000000e-01,5.240000000000000213e-01,5.294386406418519903e-02,5.447442550474531631e-01,2.959999999999999853e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437537297000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.400465535559331620e-01,2.619566642039686255e-01,-3.498002268040635854e-01,2.638978523965097023e-01,5.294386406418519903e-02,5.447442550474531631e-01,5.999999999999999778e-01,5.240000000000000213e-01,1.062623382640385476e-03,5.550150920450249714e-01,5.000000000000000000e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437537501000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.498002268040635854e-01,2.638978523965097023e-01,-3.498345307141337845e-01,2.658412408311919273e-01,1.062623382640385476e-03,5.550150920450249714e-01,5.040000000000000036e-01,5.240000000000000213e-01,8.801557758840067606e-04,5.652975705354070790e-01,5.000000000000000000e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437537706000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.498359118397262324e-01,2.659189850497210572e-01,-3.498706318096680423e-01,2.678627910551195090e-01,8.728093631582202905e-04,5.657089156069897706e-01,4.040000000000000258e-01,5.240000000000000213e-01,6.881286719783802569e-04,5.759936034662408444e-01,5.000000000000000000e-01,5.240000000000000213e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437537908000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.498706318096680423e-01,2.678627910551195090e-01,-3.499057241498900739e-01,2.698069872948010706e-01,6.881286719783802569e-04,5.759936034662408444e-01,5.040000000000000036e-01,5.240000000000000213e-01,5.014672878186378618e-04,5.862803560571485662e-01,5.000000000000000000e-01,5.240000000000000213e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437538112000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.499057241498900739e-01,2.698069872948010706e-01,-3.499426514542697264e-01,2.718293909501651173e-01,5.014672878186378618e-04,5.862803560571485662e-01,5.000000000000000000e-01,5.240000000000000213e-01,3.050454560119755126e-04,5.969809044982281598e-01,5.000000000000000000e-01,5.240000000000000213e-01,0.000000000000000000e+00,-2.000000000000000111e-01
