timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.759833758485000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.651224920268229757e-01,2.471184667414721425e-01,-2.478326903621004829e-01,2.531415354185805322e-01,4.514761062403032654e-01,4.662352737644029355e-01,5.040000000000000036e-01,5.959999999999999742e-01,5.434431363718058572e-01,4.981033620030716480e-01,7.079999999999999627e-01,5.540000000000000480e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.759833758692000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.478326903621004829e-01,2.531415354185805322e-01,-2.312064842772375561e-01,2.574761942139446869e-01,5.434431363718058572e-01,4.981033620030716480e-01,6.079999999999999849e-01,5.540000000000000480e-01,6.318804027806512735e-01,5.210380646240460045e-01,7.079999999999999627e-01,5.540000000000000480e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.759833758897000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.312064842772375561e-01,2.574761942139446869e-01,-2.108203223137276316e-01,2.618096481528128239e-01,6.318804027806512735e-01,5.210380646240460045e-01,7.079999999999999627e-01,5.540000000000000480e-01,7.403174345014487123e-01,5.439663923429250980e-01,8.080000000000003846e-01,5.540000000000000480e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.759833759102000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-2.098399762729490914e-01,2.619829231287549853e-01,-1.886549589568960184e-01,2.663160914554009162e-01,7.455320411013346416e-01,5.448831911574338882e-01,8.080000000000003846e-01,5.540000000000000480e-01,8.582183034207658823e-01,5.678100077005340252e-01,7.120000000000000773e-01,5.540000000000000480e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.759833759307000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+00,-1.886549589568960184e-01,2.663160914554009162e-01,-1.679470793310912091e-01,2.693407647273569072e-01,8.582183034207658823e-01,5.678100077005340252e-01,8.120000000000002771e-01,5.540000000000000480e-01,9.683665993027064101e-01,5.838135699860154126e-01,8.120000000000002771e-01,5.120000000000000107e-01,-2.000000000000000042e-02,2.000000000000000111e-01
1.759833759514000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,-1.679470793310912091e-01,2.693407647273569072e-01,-1.627164440703555703e-01,2.684399724054739034e-01,9.683665993027064101e-01,5.838135699860154126e-01,8.120000000000002771e-01,5.120000000000000107e-01,9.961891272853427015e-01,5.790474730448355034e-01,5.000000000000000000e-01,4.620000000000000218e-01,-2.000000000000000042e-02,0.000000000000000000e+00
1.759833759724000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.627164440703555703e-01,2.684399724054739034e-01,-1.664804610271546359e-01,2.633164859643742362e-01,9.961891272853427015e-01,5.790474730448355034e-01,8.120000000000002771e-01,4.620000000000000218e-01,9.761677604938583386e-01,5.519390791765833582e-01,4.040000000000000258e-01,4.200000000000000955e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.759833759930000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.664804610271546359e-01,2.633164859643742362e-01,-1.744806505044033118e-01,2.569320953179421996e-01,9.761677604938583386e-01,5.519390791765833582e-01,8.120000000000002771e-01,4.200000000000000955e-01,9.336135611467909490e-01,5.181592344864667243e-01,4.000000000000000777e-01,4.200000000000000955e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.759833760140000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.744806505044033118e-01,2.569320953179421996e-01,-1.828077203397722172e-01,2.502916803161731041e-01,9.336135611467909490e-01,5.181592344864667243e-01,8.120000000000002771e-01,4.200000000000000955e-01,8.893206364905733574e-01,4.830247635776355186e-01,4.000000000000000777e-01,4.200000000000000955e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.759833760348000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-1.828077203397722172e-01,2.502916803161731041e-01,-1.870550583081720952e-01,2.454888990121407433e-01,8.893206364905733574e-01,4.830247635776355186e-01,5.000000000000000000e-01,4.200000000000000955e-01,8.667284132544037512e-01,4.576132222864590093e-01,5.000000000000000000e-01,4.660000000000000253e-01,2.000000000000000042e-02,2.000000000000000111e-01
